縣市,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,Int_Floor
臺北市,中山區,房地(土地+建物),建國北路二段31~60號,19.4,都市：其他:第三之二種住宅區及第三種住宅區。,,,1100320,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,720620.0,105.96,3,2,1,有,有,24000000,226501.0,,0.0,0,陽台外推；其他增建；,RPTNMLQLMHGGFCA77DA,77.53,0.0,11.36,有,,14
臺北市,大安區,房地(土地+建物)+車位,臥龍街301~330號,17.6,都市：其他:交通用地(公共設施用地)。78/4/3,,,1100404,土地2建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990513.0,128.17,2,2,1,有,有,23300000,181790.0,坡道平面,46.0,0,,RPUQMLKLMHGGFFA87DA,48.48,4.53,3.42,有,,13
臺北市,內湖區,房地(土地+建物)+車位,大湖山莊街176巷1~30號,21.29,都市：其他:第三種住宅區。,,,1100328,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,971127.0,114.68,3,2,1,有,有,21000000,204217.0,坡道平面,24.09,2500000,,RPORMLMKMHGGFCA27EA,52.3,5.68,2.82,有,,14
臺北市,內湖區,房地(土地+建物)+車位,文湖街31~60號,34.39,都市：其他:市場用地(公共設施用地)。64/8/1,,,1100330,土地1建物1車位2,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,991230.0,313.52,4,2,3,有,有,65800000,234369.0,坡道平面,54.1,5000000,,RPOSMLKLMHGGFCA27EA,157.79,9.24,19.32,有,97.0,15
臺北市,中正區,房地(土地+建物)+車位,水源路91~120號,11.28,都市：其他:第二種商業區。,,,1100401,土地2建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,960302.0,143.18,2,2,2,有,有,22380000,156307.0,坡道平面,13.93,0,,RPXNMLOJNHGGFAA77EA,69.34,1.6,11.38,有,,15
臺北市,中山區,房地(土地+建物),松江路1~30號,2.71,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100419,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,701208.0,37.43,1,1,1,有,有,9000000,240449.0,,0.0,0,,RPSSMLNJNHGGFCA87EA,27.91,0.0,0.0,有,100.0,13
臺北市,松山區,房地(土地+建物)+車位,三民路29巷1~30號,44.24,都市：其他:第三種住宅區。,,,1100402,土地2建物1車位1,十三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,931111.0,207.85,4,2,2,有,有,48680000,234207.0,坡道平面,0.0,0,,RPQTMLQKMHGGFDA18EA,117.64,2.54,11.24,有,,13
臺北市,北投區,房地(土地+建物)+車位,文林北路121~150號,13.29,都市：其他:第三之二種住宅區。,,,1100405,土地1建物1車位1,八層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1060220.0,198.69,3,2,2,有,有,45000000,226483.0,坡道平面,15.01,0,,RPRPMLOJNHGGFEA77EA,91.35,12.07,13.41,有,106.0,25
臺北市,大安區,房地(土地+建物)+車位,市民大道三段181~210號,32.9,都市：其他:第三之二種住宅區。,,,1100419,土地2建物1車位2,八層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1050111.0,321.67999999999995,4,1,3,有,有,90189999,280372.0,坡道平面,0.0,0,政府機關標讓售；,RPOOMLOJNHGGFFA47EA,163.0,10.69,14.48,有,,23
臺北市,大安區,房地(土地+建物)+車位,信義路二段86巷1~30號,43.21,都市：其他:第三種住宅區。,,,1100319,土地1建物1車位1,十五層，十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,790629.0,281.95,8,3,3,有,有,80180000,284377.0,坡道平面,0.0,3500000,,RPTOMLOJNHGGFFA97EA,214.99,0.94,19.39,有,,16
